GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf
865899;5225;Bözberg;AG;-;x;;x;-;-;01.06.2021;KW39;11.01.2022;25.11.2021;PV + Batterie
592509;5034;Suhr;AG;-;x;;x;x;-;02.06.2021;KW35;16.11.2021;21.09.2021;PV + Batterie + EV-Ladestation
742993;4317;Wegenstetten;AG;x;-;;-;-;-;04.06.2021;KW40;17.11.2021;;
896592;4313;Möhlin;AG;-;x;;-;-;-;04.06.2021;KW33;19.10.2021;17.08.2021;PV
738793;5070;Frick;AG;x;x;;-;-;-;05.06.2021;KW35;26.10.2021;16.09.2021;Wärmepumpe + PV
591191;5018;Erlinsbach;AG;x;-;;-;-;-;06.06.2021;KW45;24.01.2022;;
729283;4332;Stein AG;AG;-;-;;x;-;-;07.06.2021;-;-;02.06.2021;Batterie
582891;5722;Gränichen;AG;x;-;;-;-;-;07.06.2021;KW41;19.11.2021;17.09.2020;Wärmepumpe
152528;5225;Bözberg;AG;-;x;;x;x;-;07.06.2021;KW34;21.10.2021;02.09.2021;PV + Batterie + EV-Ladestation
195088;4313;Möhlin;AG;x;-;;-;-;-;07.06.2021;kW42;09.12.2021;07.09.2022;Wärmepumpe
733769;5330;Bad Zurzach;AG;x;-;;-;-;-;10.06.2021;KW34;12.10.2021;;
785007;5622;Waltenschwil;AG;-;-;;x;-;-;13.06.2021;KW30;-;09.05.2019;Batterie
590480;5210;Windisch;AG;x;x;;x;-;-;14.06.2021;KW47;31.01.2022;08.12.2021;Wärmepumpe + PV + Batterie
806207;5225;Bözberg;AG;-;x;;x;-;-;17.06.2021;KW38;21.12.2021;20.10.2021;PV + Batterie
586106;5000;Aarau;AG;-;x;;x;-;-;21.06.2021;KW9;19.05.2022;18.05.2021;PV + Batterie
714489;4313;Möhlin;AG;x;x;;x;-;-;27.06.2021;KW43;10.02.2022;03.12.2021;Wärmepumpe + PV + Batterie
588117;5103;Möriken AG;AG;-;-;;x;-;-;30.06.2021;KW28;-;15.04.2021;Batterie
739616;4813;Uerkheim;AG;-;-;;x;-;-;30.06.2021;KW34;-;11.05.2021;Batterie
589903;5036;Oberentfelden;AG;x;-;;-;-;-;04.07.2021;KW43;14.01.2022;;
143675;5236;Remigen;AG;x;-;;-;-;-;07.07.2021;KW39;03.02.2022;;
738516;5225;Bözberg;AG;x;-;;x;-;-;10.07.2021;KW49;21.02.2022;15.12.2021;Wärmepumpe + Batterie
746421;5304;Endingen;AG;-;x;;x;-;-;11.07.2021;KW41;20.12.2021;25.09.2020;PV + Batterie
705536;5725;Leutwil;AG;-;x;;x;x;-;16.07.2021;KW45;16.12.2021;17.11.2021;PV + Batterie + EV-Ladestation
171901;5304;Endingen;AG;x;x;;x;-;-;19.07.2021;KW47;21.01.2022;01.12.2021;Wärmepumpe + PV + Batterie
117726;4310;Rheinfelden;AG;-;x;;x;-;-;25.07.2021;KW38;06.01.2022;;
764446;5707;Seengen;AG;x;-;;-;-;-;27.07.2021;kW 39;24.11.2021;07.10.2021;Wärmepumpe
590582;5620;Bremgarten AG;AG;x;x;;x;x;-;13.08.2021;KW52;22.11.2023;07.09.2022;Wärmepumpe + PV + Batterie + EV-Ladestation
129462;5072;Oeschgen;AG;-;x;;x;-;-;18.08.2021;KW44;08.05.2022;;
703415;4310;Rheinfelden;AG;-;x;;x;-;-;19.08.2021;KW13;;;
593030;5242;Birr;AG;x;x;;x;-;-;23.08.2021;KW41;19.05.2022;06.04.2022;Wärmepumpe + PV + Batterie
572795;4813;Uerkheim;AG;-;x;;x;x;-;24.08.2021;KW2 ;16.05.2022;21.02.2022;PV + Batterie + EV-Ladestation
594108;5430;Wettingen;AG;-;x;;x;x;;28.08.2021;KW45;11.02.2022;15.11.2021;PV + Batterie + EV-Ladestation
164222;8962;Bergdietikon;AG;x;x;;x;-;-;31.08.2021;11.07.2022;07.11.2022;;
198827;5225;Bözberg;AG;-;x;;x;-;-;01.09.2021;KW6;09.12.2022;12.10.2022;PV + Batterie
589133;4658;Däniken SO;SO;x;-;;-;-;-;02.09.2021;KW11;24.08.2022;;
726547;5107;Schinznach Dorf;AG;x;x;;-;-;-;02.09.2021;kW46;28.09.2022;07.09.2022;Wärmepumpe + PV
592852;5242;Birr;AG;x;-;;-;-;-;05.09.2021;KW48   ;16.11.2022;;
595793;5036;Oberentfelden;AG;-;x;;-;-;-;06.09.2021;KW 4/2022;19.04.2022;10.03.2022;PV
589743;5442;Fislisbach;AG;x;-;;-;-;-;09.09.2021;KW49;19.01.2022;14.12.2021;Wärmepumpe
594045;5033;Buchs AG;AG;x;x;;x;-;-;09.09.2021;KW10;18.05.2022;12.04.2022;Wärmepumpe + PV + Batterie
588589;5000;Aarau;AG;x;x;;x;x;-;09.09.2021;KW9;21.07.2022;30.03.2022;Wärmepumpe + PV + Batterie + EV-Ladestation
594448;5042;Hirschthal;AG;-;x;;-;-;-;12.09.2021;KW50;19.01.2022;14.12.2021;PV
716968;4315;Zuzgen;AG;x;x;;-;-;-;16.09.2021;KW35;16.08.2022;21.06.2022;Wärmepumpe + PV
112352;5105;Auenstein;AG;-;x;;x;-;-;19.09.2021;KW49;18.02.2022;;
595906;8964;Rudolfstetten;AG;x;x;;x;-;-;19.09.2021;KW47;26.07.2022;16.03.2022;Wärmepumpe + PV + Batterie
595907;8964;Rudolfstetten;AG;x;x;;-;-;-;20.09.2021;KW47;21.06.2022;14.03.2022;Wärmepumpe + PV
596018;5233;Stilli;AG;-;-;;-;x;;21.09.2021;KW39/40;-;09.08.2022;EV-Ladestation
596019;5728;Gontenschwil;AG;-;x;;-;x;;22.09.2021;KW2;17.02.2022;11.01.2022;PV + EV-Ladestation
586141;5443;Niederrohrdorf;AG;-;x;;x;-;-;24.09.2021;KW6;06.04.2022;;
588885;5413;Birmenstorf AG;AG;-;-;;x;-;-;26.09.2021;KW47;-;24.11.2021;Batterie
553509;4313;Möhlin;AG;x;x;;-;x;-;26.09.2021;KW2/2022;23.02.2022;13.01.2022;Wärmepumpe + PV + EV-Ladestation
745455;5616;Meisterschwanden;AG;x;-;;-;-;-;26.09.2021;KW12/2022;;;
577310;4655;Stüsslingen;SO;-;-;;x;-;-;27.09.2021;KW46;-;25.03.2020;Batterie
594211;5415;Nussbaumen AG;AG;x;x;;x;-;-;05.10.2021;KW18;16.03.2023;19.05.2022;Wärmepumpe + PV + Batterie
574487;5000;Aarau;AG;-;x;;x;-;-;07.10.2021;KW18;28.07.2022;;
178475;5621;Zufikon;AG;-;x;;-;-;-;09.10.2021;KW48 + 10?;16.06.2022;;
561504;5040;Schöftland;AG;-;-;;x;-;-;11.10.2021;KW3;-;;
592761;5028;Ueken;AG;-;-;;x;-;x;11.10.2021;KW6;05.04.2021;17.02.2022;Batterie + Wärmepumpenboiler
596456;5722;Gränichen;AG;-;-;;x;-;-;12.10.2021;KW7;11.03.2022;;
593131;4310;Rheinfelden;AG;x;x;;x;-;-;13.10.2021;KW15/2022;15.06.2022;04.05.2022;Wärmepumpe + PV + Batterie
591712;5200;Brugg AG;AG;x;x;;-;-;-;21.10.2021;KW3/2022;09.06.2022;26.04.2022;Wärmepumpe + PV
909237;5620;Bremgarten AG;AG;Boiler;x;;x;-;-;22.10.2021;kW9;08.06.2022;28.11.2019;PV + Batterie
596760;4657;Dulliken;SO;-;x;;x;-;-;24.10.2021;KW10;09.06.2022;19.04.2022;PV + Batterie
594446;5022;Rombach;AG;-;x;;x;x;-;24.10.2021;KW 5/2022;09.03.2022;03.02.2022;PV + Batterie + EV-Ladestation
727903;5707;Seengen;AG;-;x;;x;-;-;26.10.2021;KW2;07.03.2021;;
741254;4316;Hellikon;AG;-;-;;x;-;-;02.11.2021;KW48;-;24.09.2021;Batterie
145791;4332;Stein AG;AG;-;x;;x;x;-;03.11.2021;KW8/2022;07.04.2022;14.03.2022;PV + Batterie + EV-Ladestation
591100;5213;Villnachern;AG;x;x;;-;-;-;04.11.2021;KW14;29.07.2022;20.05.2022;Wärmepumpe + PV
593820;5432;Neuenhof;AG;x;x;;x;-;-;08.11.2021;KW31;30.09.2022;08.09.2022;Wärmepumpe + PV + Batterie
596934;5432;Neuenhof;AG;x;x;;x;-;-;09.11.2021;KW30;30.09.2022;08.09.2022;Wärmepumpe + PV + Batterie
716143;4303;Kaiseraugst;AG;-;x;;-;-;-;11.11.2021;KW49;22.02.2022;;
594027;5034;Suhr;AG;-;x;;-;x;-;14.11.2021;KW12;02.06.2022;28.04.2022;PV + EV-Ladestation
716735;5443;Niederrohrdorf;AG;-;x;;x;-;-;15.11.2021;kW 7/2022;11.05.2022;;
596967;5000;Aarau;AG;x;-;;-;-;-;16.11.2021;KW23;05.12.2022;;
582891;5722;Gränichen;AG;-;-;;-;x;-;19.11.2021;;-;17.09.2020;EV-Ladestation
723980;4312;Magden;AG;-;x;;x;-;-;19.11.2021;kW10;;10.02.2022;PV + Batterie
593387;5712;Beinwil am See;AG;-;x;;x;x;-;21.11.2021;KW 13/2022;09.06.2022;14.04.2022;PV + Batterie + EV-Ladestation
16976;5432;Neuenhof;AG;x;x;;x;-;-;22.11.2021;KW12;21.06.2022;19.04.2022;Wärmepumpe + PV + Batterie
595711;8962;Bergdietikon;AG;-;x;;-;-;-;24.11.2021;KW8/2022;30.03.2022;;
594002;5035;Unterentfelden;AG;x;x;;x;-;-;24.11.2021;KW30?;27.10.2022;19.09.2022;Wärmepumpe + PV + Batterie
203398;5610;Wohlen AG;AG;-;x;;x;-;-;25.11.2021;KW26;20.07.2021;;
596018;5233;Stilli;AG;x;x;;x;-;-;29.11.2021;KW15;23.09.2022;09.08.2022;Wärmepumpe + PV + Batterie
694066;5707;Seengen;AG;-;x;;x;-;-;04.12.2021;KW 8/2022;05.04.2022;16.03.2022;PV + Batterie
593365;5103;Möriken AG;AG;x;x;;x;x;;07.12.2021;KW 24;26.09.2023;30.06.2022;Wärmepumpe + PV + Batterie + EV-Ladestation
595302;5400;Baden;AG;x;-;;-;-;-;09.12.2021;KW4;-;24.11.2022;Wärmepumpe
593014;5236;Remigen;AG;-;x;;x;-;-;03.01.2022;kW 33;19.10.2022;20.09.2022;PV + Batterie
580281;5070;Frick;AG;-;x;;-;-;-;03.01.2022;KW23;18.10.2022;;
750388;5107;Schinznach Dorf;AG;-;x;;x;x;-;03.01.2022;KW9;06.05.2022;;
577018;5600;Lenzburg;AG;-;x;;x;-;x;03.01.2022;KW13;12.05.2022;11.04.2022;PV + Batterie + Wärmepumpenboiler
703976;5070;Frick;AG;-;x;;x;-;-;03.01.2022;KW18;16.06.2022;20.05.2022;PV + Batterie
589123;5014;Gretzenbach;SO;-;-;;x;-;-;04.01.2022;KW15;-;;
131436;4313;Möhlin;AG;-;x;;x;-;-;04.01.2022;KW13;24.05.2022;09.02.2022;PV + Batterie
564900;5024;Küttigen;AG;-;x;;x;x;-;04.01.2022;KW16;17.06.2022;04.05.2022;PV + Batterie + EV-Ladestation
593829;5425;Schneisingen;AG;x;x;;x;-;-;04.01.2022;KW29;28.09.2022;16.08.2022;Wärmepumpe + PV + Batterie
595636;5076;Bözen;AG;-;x;;x;x;-;07.01.2022;28.04.2022;14.07.2022;31.05.2022;PV + Batterie + EV-Ladestation
597714;5073;Gipf-Oberfrick;AG;-;x;;x;;-;08.01.2022;KW12;24.05.2022;23.03.2022;PV + Batterie
594402;5412;Gebenstorf;AG;x;x;;x;-;-;10.01.2022;kW17;22.05.2022;16.05.2022;Wärmepumpe + PV + Batterie
590937;5512;Wohlenschwil;AG;x;x;;x;-;-;10.01.2022;kW 27;28.04.2023;03.10.2022;Wärmepumpe + PV + Batterie
142012;5074;Eiken;AG;x;-;;-;-;-;16.01.2022;KW 26;16.12.2022;07.09.2022;Wärmepumpe
584406;5033;Buchs AG;AG;-;-;;x;x;-;20.01.2022;KW8;;24.02.2021;Batterie + EV-Ladestation
595302;5400;Baden;AG;-;-;;-;-;-;21.01.2022;KW4;;24.11.2022;unbekannt (keine Anlage auf dieser Zeile markiert)
785531;5622;Waltenschwil;AG;x;-;;-;-;-;22.01.2022;KW 42;03.04.2023;;
175213;5313;Klingnau;AG;-;x;;-;-;-;23.01.2022;12.05.2022;24.08.2022;;
735680;4323;Wallbach;AG;-;x;;x;x;-;25.01.2022;KW19;08.07.2022;02.06.2022;PV + Batterie + EV-Ladestation
181978;4323;Wallbach;AG;x;x;;x;-;-;25.01.2022;KW22;03.11.2022;22.09.2022;Wärmepumpe + PV + Batterie
;5620;Bremgarten AG;AG;x;-;;-;-;-;26.01.2022;29.08.2022;;;
212758;5722;Gränichen;AG;-;x;;x;x;-;27.01.2022;KWxY/2023;23.08.2023;28.07.2022;PV + Batterie + EV-Ladestation
583323;4303;Kaiseraugst;AG;-;x;21.6;x;-;-;03.02.2022;11.12.2023;13.01.2024;02.12.2020;PV + Batterie
691339;4317;Wegenstetten;AG;-;x;;x;-;-;07.02.2022;Aug;26.08.2023;07.09.2023;PV + Batterie
108801;5322;Koblenz;AG;-;-;;x;-;-;10.02.2022;KW17;27.04.2022;11.05.2021;Batterie
131447;5442;Fislisbach;AG;x;-;;-;-;-;10.02.2022;22.04.2022;-;;
212714;4665;Oftringen;AG;x;x;;-;-;-;11.02.2022;KW21;19.12.2022;08.06.2022;Wärmepumpe + PV
596760;4657;Dulliken;SO;-;-;;-;-;-;12.02.2022;-;09.06.2022;19.04.2022;unbekannt (keine Anlage auf dieser Zeile markiert)
109103;5322;Koblenz;AG;x;-;;-;;;12.02.2022;kW 34;02.11.2022;;
595990;5033;Buchs AG;AG;x;x;;x;x;-;12.02.2022;KW30;24.11.2022;21.10.2022;Wärmepumpe + PV + Batterie + EV-Ladestation
870417;5300;Turgi;AG;-;-;;x;-;-;14.02.2022;10.07.2022;-;26.11.2020;Batterie
812691;5620;Bremgarten AG;AG;-;-;;-;x;-;15.02.2022;KW10;-;18.11.2019;EV-Ladestation
743335;5314;Kleindöttingen;AG;-;x;;x;-;-;15.02.2022;04.07.2022;;;
595302;5400;Baden;AG;x;x;;x;-;-;16.02.2022;;;24.11.2022;Wärmepumpe + PV + Batterie
153783;5619;Uezwil;AG;x;-;;-;x;;17.02.2022;kW 34;;21.09.2022;Wärmepumpe + EV-Ladestation
596691;5610;Wohlen AG;AG;-;x;;x;x;;17.02.2022;KW 31;13.10.2022;02.09.2022;PV + Batterie + EV-Ladestation
192082;5620;Bremgarten AG;AG;-;x;;x;x;-;17.02.2022;KW25;20.06.2023;;
213106;5420;Ehrendingen;AG;-;x;;-;-;-;22.02.2022;KW19;06.07.2022;;
595391;4665;Oftringen;AG;x;x;;x;-;-;22.02.2022;kW31+37;14.12.2022;03.11.2022;Wärmepumpe + PV + Batterie
213113;4653;Obergösgen;SO;-;x;;x;-;-;24.02.2022;kW31;15.12.2022;02.11.2022;PV + Batterie
155734;5073;Gipf-Oberfrick;AG;x;x;;-;-;-;24.02.2022;KW22;24.11.2022;20.10.2022;Wärmepumpe + PV
213052;5033;Buchs AG;AG;x;-;;-;x;-;27.02.2022;KW31;14.12.2022;15.11.2022;Wärmepumpe + EV-Ladestation
178529;5621;Zufikon;AG;-;x;;x;-;-;27.02.2022;kW23;03.08.2022;06.07.2022;PV + Batterie
163954;4322;Mumpf;AG;-;x;;x;-;-;01.03.2022;kW23 ;15.03.2023;04.04.2022;PV + Batterie
596167;4665;Oftringen;AG;x;-;;-;-;-;01.03.2022;01.11.2022;;24.01.2023;Wärmepumpe
711145;4303;Kaiseraugst;AG;-;x;;x;x;-;01.03.2022;KW 28;28.09.2022;20.07.2022;PV + Batterie + EV-Ladestation
705057;4317;Wegenstetten;AG;-;x;;-;-;-;01.03.2022;KW38;12.04.2023;18.11.2022;PV
732971;4317;Wegenstetten;AG;-;-;;x;-;-;02.03.2022;KW29;-;;
151970;5306;Tegerfelden;AG;-;x;;x;-;-;02.03.2022;KW26;31.08.2022;27.07.2022;PV + Batterie
723437;4310;Rheinfelden;AG;x;x;;x;-;-;03.03.2022;29.08.2022;;08.11.2022;Wärmepumpe + PV + Batterie
213274;4852;Rothrist;AG;x;x;;-;-;-;06.03.2022;KW33;08.05.2023;16.09.2022;Wärmepumpe + PV
696616;5070;Frick;AG;-;x;;x;-;-;07.03.2022;KW22;11.08.2022;04.04.2022;PV + Batterie
596437;4657;Dulliken;SO;-;x;;-;-;-;08.03.2022;kW 38;;;
728322;5707;Seengen;AG;x;-;;-;-;-;08.03.2022;kW35;;;
909745;4803;Vordemwald;AG;-;x;;x;x;-;09.03.2022;KW29;;20.12.2022;PV + Batterie + EV-Ladestation
145326;5426;Lengnau AG;AG;-;x;;-;x;-;13.03.2022;KW29;27.09.2022;18.08.2022;PV + EV-Ladestation
596257;4665;Oftringen;AG;x;x;;x;-;-;15.03.2022;KW35;05.01.2023;22.11.2022;Wärmepumpe + PV + Batterie
724881;5745;Safenwil;AG;-;x;;-;-;-;16.03.2022;KW28;25.8.22?;08.12.2021;PV
596313;4852;Rothrist;AG;x;-;;-;-;-;16.03.2022;KW41;;22.12.2022;Wärmepumpe
692112;8962;Bergdietikon;AG;-;x;;x;-;-;17.03.2022;01.10.2022;24.10.2022;;
146807;5106;Veltheim AG;AG;-;x;;x;-;-;18.03.2022;01.08.2022;08.02.2023;10.01.2023;PV + Batterie
213683;5024;Küttigen;AG;-;x;;x;-;-;19.03.2022;KW35;Patrick;22.09.2022;PV + Batterie
702332;5304;Endingen;AG;x;-;;-;-;-;20.03.2022;KW22;21.09.2022;;
884000;5107;Schinznach Dorf;AG;-;x;;x;-;-;21.03.2022;kW 24;29.06.2023;;
733114;4317;Wegenstetten;AG;-;x;;-;-;-;21.03.2022;KW35;;06.10.2022;PV
213700;5610;Wohlen AG;AG;x;-;;-;-;-;23.03.2022;KW32;05.01.2023;;
152557;5070;Frick;AG;-;x;;x;-;-;23.03.2022;KW40;25.01.2023;13.12.2022;PV + Batterie
702339;5304;Endingen;AG;x;-;;-;-;-;25.03.2022;;;;
129447;5072;Oeschgen;AG;-;x;;x;-;-;26.03.2022;KW32;09.05.2023;11.04.2023;PV + Batterie
740230;8962;Bergdietikon;AG;x;x;;x;x;-;26.03.2022;12.06.2023;26.10.2023;23.06.2023;Wärmepumpe + PV + Batterie + EV-Ladestation
213711;5024;Küttigen;AG;-;x;;x;x;-;27.03.2022;kW 18;08.05.2023;17.05.2022;PV + Batterie + EV-Ladestation
898693;5504;Othmarsingen;AG;-;x;;-;x;-;28.03.2022;KW32;;22.09.2022;PV + EV-Ladestation
195088;4313;Möhlin;AG;-;x;;x;-;-;28.03.2022;KW44;14.02.2023;07.09.2022;PV + Batterie
821268;4303;Kaiseraugst;AG;-;-;;-;x;-;29.03.2022;KW48 prov.;-;16.05.2022;EV-Ladestation
595118;4800;Zofingen;AG;x;-;;-;-;-;30.03.2022;KW46 (KW52);;;
134309;5312;Döttingen;AG;x;x;;x;x;-;31.03.2022;KW38 (KW52);03.05.2023;22.02.2023;Wärmepumpe + PV + Batterie + EV-Ladestation
693106;5706;Boniswil;AG;x;x;;x;;;07.04.2022;Dez.22/ Frühling 2023?;13.03.2023;20.12.2022;Wärmepumpe + PV + Batterie
748977;5706;Boniswil;AG;x;x;;x;x;;08.04.2022;;13.03.2023;20.12.2022;Wärmepumpe + PV + Batterie + EV-Ladestation
191185;4805;Brittnau;AG;-;-;;x;-;-;08.04.2022;12.08.2022;;08.04.2021;Batterie
723937;5235;Rüfenach AG;AG;-;x;;x;-;-;08.04.2022;KW49;07.12.2022;09.11.2022;PV + Batterie
593403;5430;Wettingen;AG;-;x;;-;-;-;10.04.2022;kW42;15.02.2022;21.07.2022;PV
127600;5235;Rüfenach AG;AG;-;x;;x;-;-;10.04.2022;kW40;11.01.2023;14.12.2022;PV + Batterie
697434;5108;Oberflachs;AG;-;x;;x;-;-;13.04.2022;KW 42;25.11.2023;16.12.2022;PV + Batterie
214149;5420;Ehrendingen;AG;-;x;;-;x;-;18.04.2022;KW39;;11.10.2022;PV + EV-Ladestation
136557;4325;Schupfart;AG;-;x;;x;-;-;18.04.2022;KW13;28.07.2023;10.05.2023;PV + Batterie
821251;4303;Kaiseraugst;AG;-;-;;-;x;-;20.04.2022;;-;;
187258;5106;Veltheim AG;AG;-;x;;x;x;-;23.04.2022;kW42;02.02.2023;30.11.2022;PV + Batterie + EV-Ladestation
734850;5614;Sarmenstorf;AG;-;-;;x;-;-;26.04.2022;15.11.2022;-;21.12.2021;Batterie
175022;5313;Klingnau;AG;-;-;;x;-;-;27.04.2022;15.11.2022;-;;
751926;8962;Bergdietikon;AG;-;x;;x;-;-;28.04.2022;KW2 (KW10);14.08.2023;;
214379;5525;Fischbach-Göslikon;AG;x;x;;x;-;-;28.04.2022;kW46/47 (52);;09.02.2023;Wärmepumpe + PV + Batterie
707738;5443;Niederrohrdorf;AG;-;x;;-;-;-;29.04.2022;KW45;23.02.2023;;
900492;5000;Aarau;AG;x;x;;x;x;-;01.05.2022;KW13;;02.05.2023;Wärmepumpe + PV + Batterie + EV-Ladestation
596414;8967;Widen;AG;x;x;;x;-;-;02.05.2022;01.03.2023;;02.05.2023;Wärmepumpe + PV + Batterie
596167;4665;Oftringen;AG;-;x;;x;-;-;03.05.2022;Q4/2022;;24.01.2023;PV + Batterie
900752;5200;Brugg AG;AG;x;x;;x;-;-;04.05.2022;;08.02.2023;09.12.2022;Wärmepumpe + PV + Batterie
591571;5426;Lengnau AG;AG;-;-;;-;x;-;05.05.2022;KW30;-;;
148705;4314;Zeiningen;AG;-;x;;x;-;-;05.05.2022;KW44;;19.12.2022;PV + Batterie
713578;4313;Möhlin;AG;-;x;;x;-;-;05.05.2022;KW40?;07.12.2022;04.09.2022;PV + Batterie
842115;4323;Wallbach;AG;-;x;;x;-;-;05.05.2022;KW34;18.10.2022;15.08.2022;PV + Batterie
902436;5624;Bünzen;AG;x;x;;x;x;-;05.05.2022;14.08.2023;;11.09.2023;Wärmepumpe + PV + Batterie + EV-Ladestation
596019;5728;Gontenschwil;AG;-;-;;x;-;-;06.05.2022;KW3 / 23;-;11.01.2022;Batterie
596361;5242;Lupfig;AG;x;-;;-;-;-;06.05.2022;KW 38;11.01.2023;15.12.2022;Wärmepumpe
712641;4313;Möhlin;AG;-;-;;x;-;-;07.05.2022;17.08.2022;-;07.10.2021;Batterie
159508;4805;Brittnau;AG;-;x;;-;-;-;07.05.2022;01.03.2023;27.04.2023;15.03.2023;PV
117726;4310;Rheinfelden;AG;-;-;;x;-;-;08.05.2022;KW37;-;;
214501;5035;Unterentfelden;AG;-;x;;x;-;-;08.05.2022;;10.05.2023;;
595809;5626;Hermetschwil-Staffeln;AG;x;x;;x;-;-;12.05.2022;11.04.2023;16.08.2023;24.05.2023;Wärmepumpe + PV + Batterie
902449;5737;Menziken;AG;x;-;;-;-;-;13.05.2022;02/04 23;01.06.2023;;
214609;4313;Möhlin;AG;x;-;;-;-;-;15.05.2022;KW44/ Q1 23;08.03.2023;31.01.2023;Wärmepumpe
902489;5018;Erlinsbach;AG;-;x;;x;-;-;18.05.2022;06.02.2023-10.02.2023;;30.06.2023;PV + Batterie
580866;5442;Fislisbach;AG;-;-;;x;-;-;20.05.2022;28.09.2022;;01.12.2020;Batterie
178529;5621;Zufikon;AG;-;-;;-;x;-;21.05.2022;;;06.07.2022;EV-Ladestation
214745;5430;Wettingen;AG;x;x;;x;-;-;24.05.2022;Q3 /22;;15.11.2022;Wärmepumpe + PV + Batterie
572795;4813;Uerkheim;AG;-;x;;-;-;-;29.05.2022;12.10.2022;-;21.02.2022;PV
900371;5107;Schinznach Dorf;AG;x;x;;-;-;-;30.05.2022;WP 17.10.22, PV Q1 23;;;
719912;5235;Rüfenach AG;AG;-;x;;x;-;;31.05.2022;Q1/2023;21.06.2023;30.05.2023;PV + Batterie
148105;4314;Zeiningen;AG;x;x;18.17;x;-;-;01.06.2022;Q1/2023;;11.05.2023;Wärmepumpe + PV + Batterie
776146;5452;Oberrohrdorf;AG;x;-;;-;-;-;06.06.2022;Q1/2023;;;
707268;5027;Herznach;AG;x;x;;x;-;-;07.06.2022;Q2/2023;;01.05.2020;Wärmepumpe + PV + Batterie
573459;5102;Rupperswil;AG;-;-;;x;-;-;09.06.2022;Q3/2022;-;12.04.2019;Batterie
214910;4800;Zofingen;AG;-;x;;x;-;-;09.06.2022;;14.12.2022;14.12.2022;PV + Batterie
749729;5616;Meisterschwanden;AG;-;x;;x;x;-;09.06.2022;10.10.2022;05.01.2023;13.12.2022;PV + Batterie + EV-Ladestation
759548;8962;Bergdietikon;AG;x;x;;x;;-;09.06.2022;28.11.2022/31.12.22;08.02.2023;24.01.2023;Wärmepumpe + PV + Batterie
740351;5107;Schinznach Dorf;AG;-;-;;x;-;-;10.06.2022;17.02.2023;-;10.12.2019;Batterie
572837;5035;Unterentfelden;AG;-;-;;-;-;-;16.06.2022;Q4 / 2022;-;27.08.2019;unbekannt (keine Anlage auf dieser Zeile markiert)
902701;5102;Rupperswil;AG;x;-;;-;-;-;18.06.2022;Q2/2023;;;
118609;5607;Hägglingen;AG;-;x;;x;-;-;20.06.2022;Q1/2023;;06.04.2023;PV + Batterie
710494;4312;Magden;AG;x;x;;x;-;-;22.06.2022;Q2/2023;;23.08.2023;Wärmepumpe + PV + Batterie
576552;5742;Kölliken;AG;-;-;;-;x;-;24.06.2022;KW51/2022;16.12.2022;20.02.2020;EV-Ladestation
902830;5032;Aarau Rohr;AG;-;x;;x;x;-;25.06.2022;Q1/2023;;;
902831;8957;Spreitenbach;AG;x;x;;x;-;-;26.06.2022;Q3/2023;;25.10.2023;Wärmepumpe + PV + Batterie
597714;5073;Gipf-Oberfrick;AG;-;-;;x;-;-;28.06.2022;25.8.22;;23.03.2022;Batterie
750388;5107;Schinznach Dorf;AG;-;-;;x;-;-;28.06.2022;01.08.2022;;;
735831;4333;Münchwilen AG;AG;-;x;;x;-;-;28.06.2022;Q2/2023;;05.06.2023;PV + Batterie
155412;8967;Widen;AG;x;x;;x;-;-;28.06.2022;Q4/2022;;29.06.2023;Wärmepumpe + PV + Batterie
901003;5043;Holziken;AG;-;x;;x;-;-;03.07.2022;Q1/2023;09.10.2023;14.03.2023;PV + Batterie
215500;4323;Wallbach;AG;-;x;21.17;-;-;-;05.07.2022;Q2, Q3/2023;;;
215740;5000;Aarau;AG;x;x;;x;-;-;05.07.2022;Q2/23;22.08.2023;14.07.2023;Wärmepumpe + PV + Batterie
215442;5000;Aarau;AG;-;x;;-;-;-;07.07.2022;KW7/2023;;08.03.2023;PV
160111;4805;Brittnau;AG;x;-;;-;-;-;07.07.2022;Frühling/Sommer 2023;;;
215605;5023;Biberstein;AG;x;-;;-;-;-;09.07.2022;Frühling 2023;;;
900382;4312;Magden;AG;-;x;;x;-;-;11.07.2022;06.06.2023;10.08.2023;06.06.2023;PV + Batterie
215480;5504;Othmarsingen;AG;-;x;;-;x;-;11.07.2022;01.04.2023;;16.06.2023;PV + EV-Ladestation
690299;4317;Wegenstetten;AG;-;x;;-;-;-;12.07.2022;04.10.2022;-;18.02.2021;PV
749221;5616;Meisterschwanden;AG;x;x;;x;-;-;12.07.2022;01.12.2022;;05.04.2023;Wärmepumpe + PV + Batterie
215492;5033;Buchs AG;AG;x;x;;x;-;-;12.07.2022;Q2/2023;28.09.2023;07.07.2023;Wärmepumpe + PV + Batterie
571965;5464;Rümikon AG;AG;-;-;;-;-;-;13.07.2022;-;;28.11.2019;unbekannt (keine Anlage auf dieser Zeile markiert)
900905;5024;Küttigen;AG;-;x;;x;-;-;17.07.2022;Q1/2023;;24.04.2023;PV + Batterie
